label,tweet,clean_text_dl,clean_text_classical
happy,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,ini adalah hal yang paling membahagiakan saat biasku foto bersama elf,paling bahagia bias foto sama elf
anger,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",dari pertama menduduki bangku jabatan anda rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatancoba tanya kenapa abdi rakyat butuh seoran,pertama duduk bangku jabat rakyat pernah dengar lihat hasil kerja prestasi nyata ikan masa duduk bangku jabatancoba tanya abdi rakyat butuh seoran
fear,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",ya sudah kalo memang belum berani potong rambut pendek ya nanti saja kalo memang sudah yakin dan bisa nyaman selamat beristirahat jangan lupa berdoa tidur yang nyenyak mimpi yang indah good night cit,ya sudah kalo memang berani potong rambut pendek kalo memang yakin nyaman selamat istirahat jangan lupa doa tidur nyenyak mimpi indah good night cit
fear,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",jadi semalam gue rekap eh intinya yang gue usahain kerja ternyata zero samsek presentasi jam ku baru grasak grusuk jam jiaaaaaaann,jadi malam gue rekap eh inti gue usahain kerja nyata zero samsek presentasi jam ku baru grasak grusuk jam jiaaaaaaann
anger,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",teman masa kecil yang turned out being asshole itu kalo cewek jadi ukhti hijrah kalo cowok jadi abdi negara rasanya semua statement ku di sosmed pasti yang menyangkal orang kayak begitu parahnya lagi kalo mereka pacaran bangsat,teman masa kecil turned out being asshole kalo cewek jadi ukhti hijrah kalo cowok jadi abdi negara rasa semua statement ku sosmed sangkal orang kayak parah kalo pacar bangsat
sadness,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",terkadang apa yang kau dapati dan miliki saat ini ada orang lain yang menginginkanya juga apapun itu karena enggak semua beban bisa di tanggung oleh seorang gantleman dialog dini hari,terkadang apa kau dapat milik orang menginginkanya apa enggak semua beban tanggung orang gantleman dialog dini hari
fear,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",tamsil islam nusantara karena kau cuma tiang yang dipancang tergesagesa kemarin sore dan pangkalmu cuma dangkaldangkal saja ditanam maka engkau jadi takut setengah mati pada angin bahkan semilir yang segar pun kau caci dan kau kutuki,tamsil islam nusantara kau cuma tiang pancang tergesagesa kemarin sore pangkal cuma dangkaldangkal tanam engkau jadi takut tengah mati angin bahkan milir segar kau caci kau kutuk
anger,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",sekarang begini saja saya balik pertanyaannya bolehkah kah saya yang bukan mahasiswa umi ikut masuk ruang kuliah dan mengerjakan tugas kuliah seperti mhs lainnya bukan persoalan ada larangan atau tidak tapi apa gunanya saya ikut perkuliahan kalo saya n,sekarang begini balik tanya boleh bukan mahasiswa umi ikut masuk ruang kuliah kerja tugas kuliah mhs lain bukan soal larang apa guna ikut kuliah kalo n
love,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",kalo kamuuuuuu kamu itu specialll cintanya juga enggak kalah kok sama yang lain karena sebenarnya bagi aku kalian itu satu jadi cinta satu cinta semua,kalo kamuuuuuu kamu specialll cinta enggak kalah kok sama benar aku kalian satu jadi cinta satu cinta semua
happy,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],kasarnya dia bilang kalo pakai lagi mendengarkan musik yang keluar selalu musiknya shinhwa bikin pengin joget haha xd itu namanya autoreaction sih xd,kasar bilang kalo pakai dengar musik keluar selalu musik shinhwa bikin pengin joget haha xd nama autoreaction sih xd
sadness,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,gua kelas sd bawa hp karena buat hubungin mama tau tau dicolong teman gua diam saja bego memang bibi kantin ngabarin nyokap gua dan langsung datang lah mama terus bapanya meminta maaf eh beberapa hari kemudian anaknya pindah sekolah ya,gua kelas sd bawa hp buat hubungin mama tau tau colong teman gua diam bego memang bibi kantin ngabarin nyokap gua langsung datang lah mama terus bapa minta maaf eh beberapa hari kemudian anak pindah sekolah
love,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",cinta tak butuh pengorbanan pada saat kau merasa berkorban pada saat itu cintamu mulai pudar ini wejangan dari mbah,cinta tak butuh korban kau rasa korban cinta mulai pudar wejang mbah
love,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.,romantis itu manis lebih manis lagi kalo dilakuin orang tg kita sayang semua bakal terasa senang dan berbunga bunga haha seperti ada ribuan kupu kupu terbang yang ada di perut kalo lagi ada yang ngeromantisin begitu,romantis manis lebih manis kalo dilakuin orang tg sayang semua bakal asa senang bunga bunga haha ribu kupu kupu terbang perut kalo ngeromantisin
